,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Что нужно совместить с плоскогубцами, чтобы получились пассатижи?",Кусачки,Ножовку,Напильник,Молоток
1,Какую игральную карту называют «Акулиной»?,даму пик,девятку бубен,десятку червей,семерку треф
2,"Какой породы была собачка Анны Сергеевны, героини рассказа А.П. Чехова «Дама с собачкой»?",Шпиц,Мопс,Пудель,Спаниель
3,Какую роль Эльдар Рязанов не играл в своих фильмах?,Водитель,Спящий,Кондитер,Железнодорожник
4,Кто были первыми олимпийскими чемпионами в спортивных танцах на льду?,Пахомова и Горшков,Линичук и Карпоносов,Бестемьянова и Букин,Торвилл и Дин
5,Название какой страны на местном диалекте звучит как «родина честных людей»?,Буркина-Фасо,Кабо-Верде,Ботсвана,Гвинея-Бисау
6,Кто кого победил в битве при Азенкуре?,Англичане французов,Французы англичан,Французы испанцев,Испанцы французов
7,Кто был самым молодым генералом армии и самым молодым командующим фронтом в истории Советских Вооруженных Сил?,Иван Черняховский,Андрей Ерёменко,Владимир Антонов,Фёдор Толбухин
8,Какой поэт «озвучил» необычную мечту: «Розу белую с черной жабой я хотел на земле повенчать»?,С. Есенин,Н. Гумилёв,В. Маяковский,А. Блок
9,"Как звали древнегреческого атлета, победившего на Олимпийских играх в состязании по панкратиону уже будучи мертвым?",Аррихион,Парабаллон,Меланком,Диагор
