,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Кто участвует в скачках?,Жокей,Кучер,Конюх,Ямщик
1,Сколько сосков на вымени у коровы?,4,2,6,8
2,Какой ученый открыл атмосферу Венеры?,М. В. Ломоносов,С. И. Вавилов,Д. И. Менделеев,Н. Н. Зинин
3,В каком городе проводятся ежегодные музыкальные фестивали имени Моцарта?,Зальцбург,Брюссель,Дрезден,Эдинбург
4,Как зовут главных героев повести ''Ночевала тучка золотая'' А.Приставкина?,Саша и Коля,Саша и Ваня,Саша и Петя,Саша и Вася
5,"Музыку к какой песне, помимо Гимна СССР, сочинил Александр Александров?","""Священная война""","""Течет Волга""","""Катюша""","""День Победы"""
6,Кому принадлежит фраза: «Цинизм ненавижу за его общедоступность!»?,Фаине Раневской,Дмитрию Шостаковичу,Владимиру Маяковскому,Юрию Любимову
7,Кто подписал указ о переименовании города Тверь в Калинин?,М. И. Калинин,И. В. Сталин,В. И. Ленин,В. М. Молотов
8,На многих картинах какого итальянского художника эпохи Кватроченто можно найти изображение огурца?,Карло Кривелли,Пьетро Перуджино,Пинтуриккьо,Пьеро делла Франческа
9,"Какой город («сити») является самым маленьким в Ирландии и по размерам, и по населению?",Килкенни,Лимерик,Уотерфорд,Корк
