,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Кто автор крылатой фразы: ""Хотели как лучше, а получилось как всегда""?",Черномырдин,Путин,Зюганов,Жириновский
1,Кто был первым из семи царей Древнего Рима?,Ромул,Тарквиний Древний,Марций,Нума Помпилий
2,Женой какого легендарного героя была Пенелопа?,Одиссея,Агамемнон,Ахилеса,Геркулеса
3,"Кто в детской сказке предлагал глупому мышонку червяка, как средство от бессоницы?",Утка,Щука,Гусь,Курица
4,Какая команда выиграла последний чемпионат СССР по хоккею с шайбой?,Динамо Москва,ЦСКА,Динамо Рига,Ак Барс
5,"Что ответил Арбенин на вопрос князя: «Да в вас нет ничего святого, Вы человек иль демон?» в драме Лермонтова «Маскарад»?",«Я? — Игрок!»,«Я? — Пророк!»,«Я? — Джокер!»,«Я? — Дьявол!»
6,"Какой была мощность двигателя у первого серийного российского автомобиля, выпущенного в 1896 году?",2 л.с.,10 л.с.,1 л.с.,5 л.с.
7,Кто считается основоположником кубизма?,П. Пикассо,Ф. Леже,В. Кандинский,К. Малевич
8,При каком императоре был построен существующий ныне римский Пантеон?,Адриан,Веспасиан,Август,Траян
9,"Выберите неверное утверждение о грызунах вида ""голый землекоп""?",Живут только в Австралии,Нечувствительны к термическим ожогам,Не болеют раком,Являются холоднокровными
