,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Какое растение надо изобразить, составляя свою родословную?",Дерево,Куст,Папоротник,Лишайник
1,Какой сорт лука послужил прообразом героя освободительного движения овощей Чиполлино?,Репчатый,Душистый,Слизун,Порей
2,В какой руде содержится наибольшее количество железа?,Магнитный железняк,Шпатовый железняк,Бурый железняк,Красный железняк
3,Какие части тела у человека растут всю его жизнь?,Нос и уши,Ноги и руки,Печень и селезенка,Голова и живот
4,Блюдом какой национальной кухни является соус «каджета»?,Мексиканской,Итальянской,Турецкой,Испанской
5,Какая опера была написана на полный текст произведения А. С. Пушкина?,«Каменный гость» А. С. Даргомыжского,«Золотой петушок» Н. А. Римского-Корсакова,«Евгений Онегин» П. И. Чайковского,«Борис Годунов» М. П. Мусоргского
6,Какое из этих простейших может паразитировать в желчном пузыре человека?,Лямблия,Токсоплазма,Кокцидия,Лейшмания
7,Сколько государств входило в ООН в 1996 году?,185,151,170,192
8,Какая команда за 5 лет участия в телевизионных лигах КВН выиграла всего одну игру — финал Высшей Лиги?,«Обычные люди»,«Триод и Диод»,«Мегаполис»,«Нарты из Абхазии»
9,"Кто из тренеров сборных, выигрывавших чемпионат мира по футболу, имел медицинское образование и некоторое время совмещал тренерскую и гинекологическую практики?",Карлос Билардо,Энцо Беарзот,Сесар Луис Менотти,Эме Жаке
