,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Куда, согласно русской поговорке, попадает внезапно разбогатевший человек?",из грязи в князи,из-за острова на стрежень,с корабля на бал,из огня да в полымя
1,"Кого пасла ""красавица одна"" в песне ""Всё могут короли"" в исполнении Аллы Пугачёвой?",гусей,свиней,коз,коров
2,Какой из этих звуконосителей изобретен ранее других?,Грампластинка,Компакт-диск,Компакт-кассета,Мини-диск
3,Кто из этих американских актёров родился в Бельгии?,Жан-Клод Ван Дамм,Брюс Уиллис,Чак Норрис,Сильвестр Сталлоне
4,Из скольких костей состоит человеческий череп?,23,16,8,28
5,Какая пара этих знаменитых писателей состоит из родных братьев?  ,Генрих и Томас Манны,Ирвин и Бернард Шоу,Грэм и Александр Грины,Ян и Пабло Неруды
6,"Биография какого великого художника легла в основу романа Сомерсета Моэма ""Луна и грош""?",Поль Гоген,Пьер-Огюст Ренуар,Клод Моне,Винсент ван Гог
7,Как в Древнем Риме называлась легкая пехота?,Велиты,Гастаты,Гоплиты,Принципы
8,Гражданином какой страны был первый лауреат нобелевской премии по литературе?,Франция,Швеция,Великобритания,США
9,"Какой французский исполнитель электронной музыки называет себя ""Aes Dana""?",Венсан Виллюи,Дэвид Пьер Гетта,Ги-Мануэль де Омем-Кристо,Жан-Мишель Жарр
