,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Как говорят о шахматисте, который стал чемпионом мира, обыграв предыдущего чемпиона?",Отобрал корону,Спихнул с трона,Присвоил мантию,Соблазнил королеву
1,Что такое тирамису?,Десерт,Салат,Суп,Мясо
2,"Сколько всего конечностей у 4-х кенгуру, 2-х стрекоз и 3-х лемуров?",40,36,44,46
3,Самую распространённую разновидность какого растения называют «долгунец»?,Лён,Хлопок,Рожь,Пшеница
4,"Какой советский космический корабль в 1975 году пристыковался к американскому ""Аполлону""?","""Союз-19""","""Восток-6""","""Восход-2""","""Прогресс-8"""
5,"Участники какой группы стали первыми зарубежными музыкантами, выступавшими на Красной площади Москвы?",«Спейс»,«Лед Зеппелин»,«АББА»,«Модерн Токинг»
6,Какое дерево названо по имени вождя племени чероки?,Секвойя,Эвкалипт,Баобаб,Гинкго
7,"В каком городе в Крыму есть музей, посвящённый памяти классика русской литературы К. Г. Паустовского?",Старый Крым,Ялта,Севастополь,Феодосия
8,Какой теннисист возглавил мировой рейтинг по итогам 2000 года?,Г. Куэртен,А. Агасси,Е. Кафельников,П. Сампрас
9,Где оставляет подарки испанский Дед Мороз?,На балконе,На пороге,В ботинках,На подоконнике
