,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Как называется один из романов Эриха Марии Ремарка?,«На Западном фронте без перемен»,«На Восточном фронте без перемен»,«На Южном фронте без перемен»,«На Северном фронте без перемен»
1,Как звали первую жену Пьера Безухова?,Элен,Лиза,Жюли,Натали
2,"Кому из своих друзей В. П. Соловьёв-Седой сказал в шутку, что тот не может быть композитором, так как у него в фамилии 4 ноты и ни одной правильной?",Вано Мурадели,Кара Караев,Арно Бабаджанян,Арам Хачатурян
3,Как зовут главного героя фильма Николая Ковальского?,Макар-следопыт,Иван-следопыт,Демьян-следопыт,Степан-следопыт
4,"Настой какой травы используют при изготовлении водки ""Зубровка""?",Зубровка,Калган,Зверобой,Шалфей
5,"На каком острове жила волшебница Цирцея, превратившая войско Одиссея в стадо свиней?",Эя,Оя,Ия,Яя
6,Персонажем ряда произведений какого фантаста был астронавигатор Пиркс?,Станислав Лем,Айзек Азимов,Роджер Желязны,Роберт Шекли
7,"Кем работал прототип главного героя романа Дюма «Граф Монте-Кристо», Франсуа Пико?",Сапожник,Портной,Кочегар,Художник
8,Как психологи называют форму общения ребенка до 6 месяцев?,Ситуативно-личностная,Внеситуативно-личностная,Внеситуативно-познавательная,Ситуативно-деловая
9,На территории какого современного государства Карибского бассейна в XVII веке существовала колония герцогства Курляндского?,Тринидад и Тобаго,Барбадос,Гренада,Антигуа и Барбуда
