,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"О чем повествует и песня из фильма «Дети капитана Гранта», и песня из фильма «Приключения желтого чемоданчика»?",О веселом ветре,О наглой грозе,О застенчивом тумане,О грустном дождике
1,"Какой минерал пропущен в пословице: ""Без... и стол кривой""?",Соль,Кварц,Малахит,Сода
2,Какая актриса была супругой режиссёра Леонида Гайдая?,Нина Гребешкова,Светлана Немоляева,Клара Лучко,Вера Васильева
3,Кто был автором сценария советского телесериала «Следствие ведут ЗнаТоКи»?,Ольга и Александр Лавровы,А. Адамов,А. Безуглов,Братья Вайнеры
4,Что из этого не относится к общим признакам растений?,Размножаются семенами,Способны к фотосинтезу,Клетки имеют целлюлозные оболочки,Растут в течение всей жизни
5,"Кто из великих модельеров считал, что «женщины гораздо тщательнее выбирают для себя ночную рубашку, чем мужа»?",К. Шанель,Дж. Версаче,К. Кляйн,К. Диор
6,Созвездия с каким названием не существует?,Бинокль,Телескоп,Компас,Микроскоп
7,"Какой цветовой оттенок в старину обозначали эпитетом ""Иудино дерево""?",Ярко-розовый,Бледно-фисташковый,Ярко-голубой,Бледно-желтый
8,"Что запрещено всем членам британского парламента, но может позволить себе канцлер казначейства во время оглашения проекта бюджета будущего года?",пить алкогольные напитки,умирать,оскорблять парламентариев,курить сигару
9,Какое животное сопровождало команду охотников за вымышленным существом в поэме Льюиса Кэрролла «Охота на Снарка»?,Бобр,Белка,Крыса,Хорёк
