,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Что защищают во всем мире партии ""Зеленых""?",Окружающую среду,Армию,Курс доллара,Крокодилов
1,Как назывался известный сборник стихов Сергея Есенина?,"""Москва кабацкая""","""Москва трактирная""","""Москва клубная""","""Москва ресторанная"""
2,"Из какого числа депутатов, согласно Конституции, состоит Государственная Дума РФ?",450,400,430,480
3,При каком царе был построен в Москве собор Василия Блаженного?,Иван Грозный,Федор Иоаннович,Борис Годунов,Алексей Михайлович
4,Какое место среди стран в мире занимает Австралия по площади территории?,6,5,4,7
5,Что из этого является столицей островного государства?,Валетта,Мбабане,Бамако,Парамарибо
6,Какое из этих балетных движений означает полный оборот тела на месте?,Пируэт,Антраша,Бриз,Револьтад
7,На каком языке с 1362 года стали вести судопроизводство в Англии?,Английский,Французский,Испанский,Латинский
8,Сколько очков дают в регби за засчитанную попытку?,5,2,1,3
9,"Какая станция московского метрополитена до 1966 года носила название ""Мир""?","""Алексеевская""","""Рижская""","""ВДНХ""","""Проспект Мира"""
