,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"В какой части тела встречается ""серое вещество""?",Мозг,Зубы,Сердце,Глаз
1,"С каким цветом надо смешать синий цвет, чтобы получить пурпурный?",Красный,Желтый,Черный,Зеленый
2,Какая часть гвоздичного дерева после сушки становится пряностью?,Бутоны,Кора,Корни,Листья
3,Какое из этих животных нельзя отнести к насекомоядным?,Тушканчик,Крот,Еж,Землеройка
4,Сколько российских городов названы в честь А. П. Чехова?,Один,Три,Два,Четыре
5,В метро столицы какой страны ходят оранжевые поезда?,Финляндия,Польша,Швеция,Германия
6,Чем по сути является любой параллелепипед?,Призмой,Икосаэдром,Кубом,Параллелограммом
7,Какой аэропорт является крупнейшим в Африке?,"O. R. Tambo, ЮАР","Enfidha-Hammamet, Тунис","Nairobi Jomo Kenyatta, Кения","Addis Ababa Bole, Эфиопия"
8,Какой револьвер состоял на вооружении русской армии в 70-90 гг. 19 в.?,"""Смит-Вессон""","""Кольт""","""Браунинг""","""Маузер"""
9,Кто из римлян учредил принципат как форму государственного управления?,Октавиан Август,Луций Корнелий Сулла,Юлий Цезарь,Диоклетиан
