,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какую утварь используют хозяйки для готовки?,скороварка,скоропарка,скоротушка,скорогрилька
1,Когда началась Великая Отечественная война?,22 июня,22 августа,22 июля,22 мая
2,Какое слово дало название химическому элементу хрому?,Окраска,Бронза,Гефест,Зеленый
3,Кто написал марш Будённого?,Дмитрий Покрасс,Александр Александров,Борис Мокроусов,Исаак Дунаевский
4,Какова длина кишечника взрослого человека в атоническом состоянии?,7 м,2 м,4 м,11 м
5,Какое из перечисленных государств имеет общую границу с Перу?,Эквадор,Уругвай,Аргентина,Венесуэла
6,"Какой поэт писал: «Письма пишут разные, слёзные, болезные. Иногда прекрасные, чаще бесполезные»?",К. Симонов,С. Гудзенко,И. Сельвинский,Н. Коржавин
7,"Кем по национальности был Джон Хьюз, основатель Донецка?",Валлиец,Ирландец,Англичанин,Шотландец
8,Какое из этих названий не связано с легендой о любви?,Гора Мусса-Ачитара,Озеро Тургояк,Остров Ахтамар,Плато Лаго-Наки
9,"Кому Александр Пушкин посвятил строки: «Ты негой волновала кровь, // Ты воспаляла в ней любовь // И пламя ревности жестокой»?",Амалии Ризнич,Евдокии Голицыной,Анне Олениной,Елизавете Воронцовой
