,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Куда не возвращался невозвращенец в годы застоя?,В СССР,В школу,К собутыльникам,К жене и детям
1,Какой устаревший союз многократно упоминается в песенке о зиме в мультфильме «Зима в Простоквашино»?,Кабы,Ибо,Ежели,Коли
2,Какая книга не входит в пушкинские «Повести Белкина»?,«Портрет»,«Метель»,«Станционный смотритель»,«Выстрел»
3,"Какое из этих государств не является членом ""Большой двадцатки"" (G-20)?",Иран,ЮАР,Мексика,Республика Корея
4,На что в сказах Павла Бажова указывала Огневушка-поскакушка?,Золото,Малахит,Самоцветы,Железная руда
5,Кто выковал Зевсу молнии?,Циклопы,Сторукие,Титаны,Гефест
6,"Какого груза не было на борту ""Титаника""?","Картины Альфреда Сислея ""Мост в Аржантее""",Контейнеров с драконовой кровью,Автомобиля Renault Type CB Coupe de Ville,"Рукописи романа Джозефа Конрада ""Лорд Джим"""
7,"Кто не входит в ""Семь мудрецов""?",Ктесий,Биант,Питтак,Фалес
8,"О ком слова С. Цвейга: «Человек, который рассказывает о подвиге и поясняет его, может стать для потомков более значительным, чем тот, кто его совершил»?",Америго Веспуччи,Роберт Пири,Александр фон Гумбольдт,Марко Поло
9,Какой талисман у известной торговой марки Cheetos?,Гепард,Оцелот,Леопард,Ягуар
