,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,К чему может привести снижение содержания эритроцитов и гемоглобина в крови?,Малокровию,Воспалению лёгкиx,Аллергии,Дефициту иммунитета
1,Что реставраторы выстраивают вокруг зданий?,леса,поля,горы,реки
2,"Как звали президента Египта, убитого исламскими фундаменталистами?",Анвар Садат,Бабрак Кармаль,Гамаль Абдель Насер,Хосни Мубарак
3,Кто из мушкетеров стал аббатом?,Арамис,Д&#39;Артаньян,Атос,Портос
4,В каком городе производились популярные наручные часы «Командирские»?,Чистополь,Углич,Минск,Москва
5,Правителями какой империи была династия Палеологов?,Византийской,Персидской,Латинской,Австро-Венгерской
6,Сколько стихотворных строк в любом сонете?,14,12,16,18
7,"Кого Александр Сергеевич Пушкин называл ""почтовыми лошадьми просвещения""?",переводчиков,книгопродавцев,критиков,книгоиздателей
8,В каком африканском государстве существует обычай каждые семь лет извлекать из склепа умерших родственников и переодевать в новый саван?,Мадагаскар,Мозамбик,Нигерия,Конго
9,"Какую часть ""Реквиема"" ре минор Моцарт успел закончить при жизни?",Requiem aeternam,Offertorium,Sequens,Sanktus
