,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Как называется одна из фигур речи?,Гипербатон,Суперкалач,Макробулка,Мегабублик
1,Кто является автором текста песни «Я московский озорной гуляка»?,С. А. Есенин,А. С. Пушкин,А. А. Блок,Л. П. Дербенев
2,Какой полуостров отделён от Африки Гибралтарским проливом?,Пиренейский,Апеннинский,Галлипольский,Балканский
3,"Куда путешествовали лось Аристотель и дятел Тюк-Тюк в российском мультсериале ""Бумажки""?",В Бумафрику,В Картонтиду,В Листралию,В Фольгазию
4,Сколько нейтронов в ядре дейтерия?,1,2,0,3
5,"Кто расписал потолок парижского театра ""Гранд-опера""?",Марк Шагал,Казимир Малевич,Аристарх Лентулов,Василий Кандинский
6,Как называется страх (фобия) остаться без мобильного телефона или вдалеке от него?,Номофобия,Гелотофобия,Токофобия,Алгофобия
7,"Какая рыба является самым плодовитым видом среди всех позвоночных, производя до 300 млн икринок за раз?",Рыба-луна,Атлантический палтус,Арапайма,Японский иглобрюх
8,Как звали мать нынешнего правителя КНДР Ким Чен Ына?,Ко Ён Хи,Ким Ок,Ким Ён Сук,Сон Хе Рим
9,"На гербе какого российского города изображён чёрный медведь, держащий в лапах ступу с пестиком?",Пестово (Новгородская область),Медвежьегорск (Республика Карелия),Сыктывкар (Республика Коми),Ступино (Московская область)
