,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Сколько гномов встретила Белоснежка?,Семь,Она иx вообще не встретила,Пять,Десять
1,Чем играют в домино?,Костями,Шашками,Фишками,Пешками
2,Какое из этих восточных блюд готовится из курицы?,Сациви,Бастурма,Долма,Лобио
3,После какой телевизионной программы выходил в эфир «Прожектор перестройки»?,«Время»,«Вокруг смеха»,«В гостях у сказки»,«В мире животных»
4,"Что в вашем компьютере называется ""вердана"", ""калибри"", ""ариал""?",шрифты,разновидности принтера,вирусы,типы винчестера
5,"Что в шотландских и ирландских фамилиях обозначает приставка ""Оי""?",Внук,Отец,Дворянство,Название местности
6,Сколько времени (в минутах) длится основное время матча в регби?,80,90,120,60
7,"Где впервые была напечатана книга ""Чикчи"" типографским способом?",Корея,Турция,Япония,Венгрия
8,Каким было имя бога грома в скандинавской мифологии?,Тор,Один,Фрей,Бальд
9,"Строчка из стихотворения какого поэта стала заголовком российского фильма «Как живёте, караси?»",Валентин Катаев,Василь Витка,Даниил Хармс,Тим Собакин
