,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какое из этих доисторических животных жило во времена существования человека?,Мамонт,Трилобит,Археоптерикс,Трицератопс
1,Как называется опушенная мехом короткая куртка гусара?,Ментик,Ливрея,Кожанка,Телогрейка
2,Какова средняя продолжительность жизни слонов?,60-70,50-60,30-45,около 80
3,Какой праздник православные отмечают накануне Великого поста?,Масленица,Рождество Христово,Яблочный Спас,Троица
4,"Как называлась советская подводная лодка, затонувшая в результате пожара в Норвежском море?",Комсомолец,Пионер,Коммунист,Октябрь
5,Кто из этих советских физиков получил нобелевскую премию позже остальных?,Ландау,Тамм,Черенков,Франк
6,Как звали коня Тараса Бульбы?,Чёрт,Морт,Вьюн,Ферт
7,"Назовите автора научно-фантастического романа ""Плутония""",В. Обручев,И. Ефремов,А. Казанцев,А. Беляев
8,Какой день народного календаря отмечается 16 августа?,Третий Спас,Щедрый вечер,Таусень,Корочун
9,"Что из этого является сапогами, а не туфлями?",кеньги,монки,пулены,полуброги
