,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,За потерю чего россиянин может быть оштрафован?,Паспорта,Сознания,Авторитета,Совести
1,Что воспаляется при фарингите?,Глотка,Трахея,Гортань,Носовая полость
2,На каком национальном инструменте хорошо играл Джордж Харрисон?,ситар,дутар,сямисэн,кантеле
3,Царем каких животных именовался древнеиндусский бог Хануман?,Обезьяны,Змеи,Птицы,Пчелы
4,У какого дерева невозможно определить возраст по годовым кольцам?,Баобаб,Ясень,Граб,Бук
5,"Как называется кислота, химическая формула которой: HNO3?",Азотная,Серная,Азотистая,Сернистая
6,Сколько сыновей Алексея Михайловича Романова царствовали в России?,3,Ни одного,2,1
7,Какой наполеоновский маршал был удостоен титула князя Московского?,Мишель Ней,Эдуар Мортье,Жан Ланн,Гийом Брюн
8,Какой английский монарх был коронован в Париже как король Франции?,Генрих VI Ланкастер,Вильгельм I Завоеватель,Эдуард IV Йорк,Ричард I Львиное Сердце
9,"Гимн какой страны начинается словами: «Край гор и вод, страна потоков»?",Австрия,Швейцария,Германия,Непал
