,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"От чего, согласно русскому выражению, душа уходит в пятки?",от страха,от холода,от голода,от щекотки
1,Как «лучше припевать» согласно детской песенке?,Хором,Дуэтом,Квартетом,Соло
2,"Какая фамилия у человека, озвучившего Кроша в мультфильме «Смешарики»?",Виноградов,Герасимов,Письмиченко,Бочанов
3,"Кто впервые поздравил граждан нашей страны с Новым годом, находясь у стен Кремля?",Владимир Путин,Михаил Горбачёв,Леонид Брежнев,Борис Ельцин
4,Какая монета в XVI—XVII веках имела наименьший номинал?,Полушка,Деньга,Грош,Копейка
5,Какой элемент входит в состав хлорофилла?,Магний,Медь,Кальций,Железо
6,Какая из этих букв славянской азбуки располагается позднее других?,Люди,Живете,Добро,Зело
7,"Окончите фразу Льва Давидовича Троцкого: «те формы государственности, которые, по природе своей, не в ладах с логикой, вынуждены вести истребительную войну против ...»",Молодёжи,Истории,Науки,Правды
8,Врожденный дефицит гормонов какой железы может привести к кретинизму?,Щитовидная железа,Надпочечники,Гипофиз,Эпифиз
9,При каком типе электрического торможения электроэнергия возвращается в контактную сеть или перезаряжает тяговые аккумуляторы?,Рекуперативное,Реверсивное,Динамическое,Реостатное
