,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Как заканчивается русская пословица: «Выбирай жену не в хороводе, а…»?",В огороде,В походе,По моде,На заводе
1,Под каким углом пересекаются диагонали ромба?,90 градусов,45 градусов,60 градусов,зависит от ромба
2,В каком году произошла Невская битва?,1240,1812,1989,1943
3,С чем Коко Шанель сравнивала моду?,С архитектурой,Со скульптурой,С музыкой,С поэзией
4,Бабу с какой фамилией прижимистый Собакевич пытался подсунуть Чичикову в список мёртвых душ вместо мужика?,Воробей,Скворец,Кулик,Кукушка
5,Какой итальянский популярный коллектив известен по хиту «Vacanze romane» («Римские каникулы»)?,Matia Bazar,Ricchi e Poveri,Eiffel 65,Benassi Bros.
6,Какая из этих битв произошла раньше?,При Гастингсе,При Азенкуре,При Грюнвальде,Под Полтавой
7,Где находятся Карлсбадские пещеры?,США,Чехия,Германия,Австрия
8,Кто из известных спортивных комментаторов привез в СССР первый профессиональный сноуборд?,Владимир Маслаченко,Анна Дмитриева,Владимир Перетурин,Георгий Саркисьянц
9,Кто из этих великих деятелей родился раньше остальных?,Христофор Колумб,Леонардо да Винчи,Альбрехт Дюрер,Никколо Макиавелли
