,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Как называется вид аквариумной улитки?,Физа,Шиза,Риза,Сиза
1,Какой из этих танцев не латиноамериканский?,Фокстрот,Сальса,Ча-ча-ча,Самба
2,"Какому из этих слов ""дал жизнь"" немецкий город Кельн?",Одеколон,Колония,Кулон,Колонтитул
3,Как называется Зальцбургский музыкальный университет?,Моцартеум,Тойхауз,Оркестерхауз,Ландестеатр
4,Что из этого является балетным высоким прыжком?,элевация,фуэте,пируэт,баллон
5,"В честь освобождения какого города от фашистских захватчиков, в Москве был устроен первый салют?",Белгород,Сталинград,Севастополь,Ленинград
6,Какая страна выпускает самолеты марки Embraer?,Бразилия,Китай,Канада,США
7,"Как прозвали охотничий домик, в котором обычно барон Мюнхгаузен рассказывал о своих похождениях?",Павильон лжи,Гостиная выдумок,Беседка небылиц,Трактир вранья
8,"Как в Японии назвали «поющий пол» императорского дворца в Киото, выполнявший роль охранной сигнализации?",«Соловьиный»,«Собачий»,«Сверчковый»,«Петушиный»
9,В каком пространстве находится решётка Лича?,24-мерном,32-мерном,8-мерном,16-мерном
