,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"С кем сравнивают пассивного, апатичного человека?",С амёбой,С эвгленой,С инфузорией-туфелькой,С кишечной палочкой
1,"«То, что сделал предъявитель сего, сделано по моему приказанию и на благо государства». Кому вручил такую бумагу кардинал Ришелье?",Миледи,Рошфору,Де Жюссаку,Де Тревилю
2,Какой прибор был эмблемой ГДР?,Циркуль,Рейсшина,Лекало,Транспортир
3,Что обозначает баскетбольный термин «ребаунд»?,Подбор мяча после броска,Трехочковый бросок,Недолет мяча до корзины,Бросок в кольцо в прыжке
4,Какая была изначальная цель использования шпиля Эмпайр-стейт-билдинг?,Мачта причала дирижаблей,Вращающийся ресторан,Платформа противовоздушной обороны,Звездная обсерватория
5,Сколько детей у королевы Елизаветы II?,4,1,2,3
6,"Как называется укреплённый рубеж со сторожевыми башнями, возведенный на границе бывшей Римской империи?",лимес,камулодун,мёза,бесса
7,"Какая из этих опер — весёлая, со счастливым финалом?",«Проданная невеста»,«Галька»,«Вертер»,«Её падчерица»
8,С лёгкой руки какого карикатуриста политические партии США получили прозвища «партия Слона» и «партия Осла»?,Томас Нэст,Джордж Херриман,Фрэнк Хаббард,Уильям Гроппер
9,С какой песни группы «Кино» началась 14 декабря 1998 года история радиостанции «Наше радио»?,«В наших глазах»,«Дальше действовать будем мы»,«Место для шага вперед»,«Хочу перемен!»
