,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,К какому сословию принадлежал В. И. Ленин?,Дворяне,Духовенство,Городские обыватели,Крестьянство
1,"Какой титул присваивал Александр Македонский своим сподвижникам, которых назначал наместниками завоеванных земель?",Диадоx,Претор,Буцефал,Куриал
2,Какому учёному принадлежит изобретение системы координат в математике?,Декарту,Лейбницу,Эйлеру,Ньютону
3,В какой стране в XV веке происходили гуситские войны?,Чехия,Польша,Румыния,Болгария
4,Где Алёхин попрощался с Анной Алексеевной навсегда в рассказе Чехова «О любви»?,В купе,В театре,В суде,В саду
5,Кто из этих руководителей белого движения в 1-ю мировую войну командовал Кавказской армией?,Юденич,Деникин,Колчак,Врангель
6,Какой из этих типов гладиаторов выходил на арену с трезубцем и сетью?,Ретиарий,Фракиец,Мурмиллон,Гопломах
7,Кто из этих Римских пап созвал Базельский собор?,Мартин V,Григорий V,Бенедикт V,Бонифаций V
8,Творчеству какой российской группы принадлежит композиция «Клоун беспощадный»?,«Пикник»,«Король и Шут»,«Браво»,«Мельница»
9,"Как называется русский народный ударный музыкальный инструмент, подобие ксилофона?",Дрова,Колено,Сорока,Бочка
