,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Как в сказке Джанни Родари звали отца Чиполлино?,Чиполлоне,Чиполлетто,Чиполлотто,Чиполлочча
1,Как звали героиню Мэрилин Монро в к/ф «В джазе только девушки»?,Душечка,Безобразная Эльза,Старуха Изергиль,Интердевочка
2,"Как называется карточная игра, в которой одна из комбинаций называется ""сет""?",Покер,Бридж,Преферанс,Блэк Джек
3,Какой актёр никогда НЕ играл роль Бэтмена?,Джек Николсон,Майкл Киттон,Вэл Килмер,Джордж Клуни
4,Какое чудо света находилось в древнем Вавилоне?,Висячие сады,Колосс,Маяк,Статуя Зевса
5,Кто отмечает свой профессиональный праздник в канун старого Нового года?,Журналисты,Медики,Учителя,Милиционеры
6,Что в 1966 году открыли советские учёные в Антарктиде на глубине 3 километров?,Пресное озеро,Залежи урана,Затонувший корабль,Огромный метеорит
7,В каком году начато строительство БАМа?,1938,1961,1985,1974
8,Как называлось одно из двух парусных судов 1-й российской кругосветной экспедиции И. Ф. Крузенштерна?,«Нева»,«Ладога»,«Гангут»,«Новик»
9,В каком городе не работал великий композитор 18-го века Кристоф Виллибальд Глюк?,Берлин,Милан,Вена,Париж
