,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Кем был Мойдодыр для умывальников?,Начальником,Шефом,Боссом,Главнокомандующим
1,С чем сравнивала мама из мультфильма про Простоквашино свою квартиру?,С передачей «Что? Где? Когда?»,С игрой «Холодно-горячо»,С сумасшедшим домом,С картиной «Последний день Помпеи»
2,Кто носил головной убор под названием кивер?,гусар,ковбой,рыцарь,повар
3,Какая река самая длинная в Европе?,Волга,Днепр,Дунай,Рейн
4,Что остается неизменным в изобарной системе?,Давление,Температура,Объем,Свободная энергия
5,Где был возведён дворец для проживания приора Мальтийского ордена?,Гатчина,Царское Село,Кронштадт,Павловск
6,Какое воинское звание получил В. А. Жуковский за участие в войне 1812 года?,Штабс-капитан,Подполковник,Подпоручик,Капитан
7,Что изображено на государственном гербе Ватикана?,Ключи,Книги,Рыбы,Мечи
8,Какой повести нет в сборнике «Миргород» Николая Васильевича Гоголя?,«Вечера на хуторе близ Диканьки»,«Вий»,«Тарас Бульба»,«Старосветские помещики»
9,Какая из этих ярких звезд представляет собой на самом деле тесную систему из трех звезд?,Регул,Альтаир,Вега,Денеб
