,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Кто дал Страшиле мозги, а Железному Дровосеку сердце?",Гудвин,Донор,Профессор Доуэль,Всадник без головы
1,Как называется способ эпиляции с использованием сахарной пасты?,Шугаринг,Цукеринг,Рафинадинг,Сахарная экзекуция
2,Какой из этих моллюсков не имеет раковины?,Каракатица,Шаровка,Мидия,Прудовик
3,"Как в дореволюционной России назывался торговец, вразнос продававший галантерейные товары, лубочные картинки, книги?",Офеня,Афоня,Егорка,Лоточник
4,"Какого литературного героя автор назвал ""прорехой на человечестве""?",Плюшкина,Иудушку Головлёва,Обломова,Швабрина
5,Кто из бразильских теннисистов становился первой ракеткой мира?,Густаво Куэртен,Луис Маттар,Франко Феррейро,Жуан Соуза
6,Какой из этих российских придворных чинов был ниже остальных?,Камергер,Шталмейстер,Гофмейстер,Гофмаршал
7,"Какая из этих футбольных сборных стала чемпионом Европы, выиграв всего один матч в основное время?",Португалия (2016 г.),Чехословакия (1976 г.),Дания (1992 г.),Греция (2004 г.)
8,"Какая российская подлодка за производимый ею шум получила у американцев и англичан прозвище ""ревущая корова Баренцева моря""?","К-266 ""Орёл""","К-410 ""Смоленск""","К-331 ""Магадан""","К-173 ""Красноярск"""
9,В матче с каким клубом в 1974 году знаменитый хоккейный вратарь ЦСКА В. Третьяк пропустил 9 шайб?,«Сиэтл Тотемс»,«Сан-Диего Мэринерз»,«Нью-Ингленд Уэйлерс»,«Балтимор Блэйдз»
