,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Кто был первым российским императором?,Петр I,Иван Грозный,Федор Алексеевич,Александр I
1,Как называется часть пальца от сустава до сустава?,Фаланга,Строй,Ряд,Шеренга
2,Сколько раз московский Спартак становился чемпионом России?,9,10,5,12
3,"Кто однажды заявил, что «два сорта мыла — это слишком сложно для меня»?",А. Эйнштейн,П. Кюри,П. Капица,М. Планк
4,На место какого монастыря перенесли в 1950 г. в Москве памятник А. С. Пушкину?,Страстного,Троицкого,Богоявленского,Благовещенского
5,В какой части Польши расположен город Лодзь?,В центре страны,На юго-востоке страны,На юго-западе страны,На севере страны
6,В виде чего установлен памятник инженеру Юхану Волеру в Осло?,Скрепки,Дырокола,Степлера,Кнопки
7,Какой советский маршал в 1948 году стал министром национальной обороны Польши?,Рокоссовский,Жуков,Малиновский,Конев
8,"Кто написал вальс, прозвучавший в фильме Игоря Таланкина ""Отец Сергий""?",Лев Толстой,Александр Грибоедов,Михаил Лермонтов,Петр Чайковский
9,"Как называется опыт, демонстрирующий эффект Мейснера в сверхпроводниках?",Гроб Магомета,Кааба,Божья Десница,Гроб Господень
