,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какая карта в расписном покере имеет наибольшую силу?,Джокер,Козырная дама,Козырный король,Козырный туз
1,Какой из этих титулов имел де Бражелон из книги Александра Дюма?,Виконт,Барон ,Маркиз,Граф
2, Какая из этих картин написана не М.Ю.Лермонтовым?,"""Незнакомка""","""Схватка в горах Дагестана""","""Вид Тифлиса""","""Герцог Лерма"""
3,"Котёнка с каким именем нет в мультфильме ""Три кота""?",Зефир,Карамелька,Компот,Коржик
4,Мехом какого животного отделана шапка Мономаха?,Соболя,Горностая,Бобра,Куницы
5,Кто из этих художников написал картину «Кружевница»?,Тропинин,Кипренский,Ватто,Куинджи
6,"В смеси каких кислот растворяется золото, но не растворяется серебро?",Азотная и соляная,Азотистая и соляная,Серная и азотная,Соляная и серная
7,Военным губернатором какого города не был М. И. Кутузов?,Москва,Киев,Выборг,Санкт-Петербург
8,"Какой архитектор спроектировал фасад дома Амалье, одну из достопримечательностей Квартала Раздора в Барселоне?",Жозеп Пуч-и-Кадафальк,Льюис Доменек-и-Монтанер,Антонио Гауди,Энрик Санье-и-Вильявеккия
9,Кто из советских актрис единственная была семь раз удостоена приза «За лучшую женскую роль» на различных международных конкурсах?,Софико Чиаурели,Алиса Фрейндлих,Людмила Гурченко,Ариадна Шенгелая
