,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Кто подарил детям советника Штальбаума сказочный замок с движущимися кавалерами и дамами в сказке ""Щелкунчик и Мышиный король""?",Крестный Дроссельмейер,Мышиный король,Советник Штальбаум,Щелкунчик
1,Как называется знаменитая кинокомедия 30-x годов с Любовью Орловой в главной роли?,"""Цирк""","""Варьете""","""Театр""","""Кино"""
2,Какое «военное» название носит род многолетних травянистых растений семейства бурачниковых?,Окопник,Траншейник,Брустверник,Блиндажник
3,"Как называется масляная жидкость, активным веществом которого является минеральное масло, имеющее характерный нефтяной запах?",Нафталан,Рыбий жир Омега-3,Масло гхи,Масло черного тмина
4,Что первоначально означала эмблема BMW?,Пропеллер,Флаг Баварии,Цветок,Четырехтактный двигатель
5,В какой стране станционным смотрителем работала кошка?,Япония,Италия,США,Германия
6,Какая ткань родом не из Китая?,ситец,крепдешин,сатин,шёлк
7,"Какое общее название в христианстве имеют предметы церковного обихода, служащие вместилищем культовых реликвий?",Ковчег,Рака,Крипта,Урна
8,Кто жил позднее?,Сократ,Гомер,Эсхил,Зенон Элейский
9,К какому семейству жесткокрылых относятся жуки-ящерицы?,Грибовики,Скрытноеды,Таёжники,Шипоноски
