,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какое происхождение имеет слово «саквояж»?,Французское,Итальянское,Английское,Немецкое
1,"Какую реку, выражаясь фигурально, переходят, приняв бесповоротное решение?",Рубикон,Лету,Западный Буг,Стикс
2,Какая из этих песен является гимном Москвы?,"""Я по свету немало…""","""Друзья, люблю я…""","""Хорошо на московских…""","""Утро красит…"""
3,Годом какого животного по китайскому календарю был 2012 год?,Дракон,Свинья,Тигр,Кролик
4,Ветви какого дерева в марте повсеместно продают как мимозу?,Акации,Тисса,Кипариса,Вербы
5,Какой из этих персонажей относится к первому поколению древнегреческих богов?,Уран,Кронос,Посейдон,Прометей
6,Какого вида пингвинов не существует?,Джонни,Адели,Гумбольдтов,Очковый
7,"Кто режиссер польского фильма  ""Огнем и мечом""?",Ежи Гофман,Ежи Кавалерович,Анджей Вайда,Кшиштоф Занусси
8,"Какой генерал, по легенде, взял двух своих сыновей в атаку в сражении под Салтановкой в июле 1812 года?",Раевский,Тучков,Ермолов,Давыдов
9,"Какой российский рок-музыкант исполнил роль А. Г. Рубинштейна в короткометражном художественном фильме Кирилла Серебренникова ""Фонограф""?",Сергей Галанин,Сергей Шнуров,Гарик Сукачёв,Владимир Шахрин
