,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Как называется песня Александры Пахмутовой, которую исполняла Анна Герман?",«Надежда»,«Вера»,«Любовь»,«Мать их Софья»
1,Где закончил жизнь царь в сказке Ершова «Конёк-Горбунок»?,в кипящем молоке,в непроходимом болоте,в собственной кровати,на осиновом колу
2,"Назовите произведение, по мотивам которого А. Тарковский снял фильм «Сталкер».",«Пикник на обочине»,«Мечты наяву»,«Зона на отшибе»,«Завтрак на траве»
3,Сколько вариантов концовки в компьютерной игре GTA V?,Три,Одна,Две,Бесконечное количество
4,Кто сыграл главного героя в фильме «Форрест Гамп»?,Том Хэнкс,Дастин Хоффман,Мел Гибсон,Ричард Гир
5,"Какой фрагмент пропущен в лимерике А. Белкина: «Молодой кабинетный ученый / Отравился... / До ста лет бы дожил, / Не оставив семью удручённой»?",Водой кипячёной. Кабы водку он пил —,Селёдкой копчёной. Фугу бы потребил —,Картошкой печёной. Лучше б сала купил —,"Горилкой перчёной. Пепси б выбрал, дебил, —"
6,В какой стране ежегодно проводится Международный Канский видеофестиваль?,Россия,Франция,Италия,Испания
7,"Кому из писателей принадлежит высказывание: ""Раздельный кошелек у супругов - вещь столь же неестественная, как и раздельное ложе""?",Аддисон Джозеф,Агата Кристи,Джордж Бернард Шоу,Лев Толстой
8,"Сценарий какого известного фильма был создан по мотивам французской комедии ""Фанфары любви"" и её же немецкого ремейка 1951 года?","""В джазе только девушки""","""Римские каникулы""","""Его девушка Пятница""","""Американец в Париже"""
9,Что появилось в нашей жизни благодаря французу Аристиду Бусико?,Универмаг,Салон красоты,Казино,Ресторан
