,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Как называется последний день празднования Масленицы?,Прощёное воскресенье,Большое воскресенье,Крещёное воскресенье,Прогульное воскресенье
1,"Какой титул предваряет имя человека, посвященного в рыцари?",Сэр,Дон,Мэтр,Месье
2,В состав какой из этих клеточных структур входит ДНК?,Хромосома,ЭПС,Гранула гликогена,Центриоль
3,Какое бельгийское блюдо широко распространилось в мире после Международной выставки ЭКСПО 1958 года в Брюсселе?,Вафли,Картофель-фри,Шоколад,Сыр
4,Какой из этих журналов был основан А.С. Пушкиным?,"""Современник""","""Трутень""","""Летопись""","""Колокол"""
5,Какая должность существовала в Англии в XVII-XVIII веках?,Королевский откупорщик океанских бутылок с письмами,Королевский глашатай точного времени,Королевский подаватель салфеток,Королевский мастер по изготовлению бумажных змеев
6,"От какого политика, давно покинувшего ЯБЛОКО, в названии партии осталась буква Б?",Болдырев,Бородин,Березовский,Батурин
7,"Как астрономы называют ближайшую к Земле точку орбиты небесного тела, обращающегося вокруг Земли?",Перигей,Афелий,Перигелий,Апогей
8,В какой стране находится высочайшая вершина Южной Америки?,Аргентина,Перу,Эквадор,Бразилия
9,"Какой футбольный арбитр в 2016 году судил финалы Кубка Англии, Лиги чемпионов УЕФА и чемпионата Европы?",Марк Клаттенбург,Майкл Оливер,Говард Уэбб,Мартин Аткинсон
