,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Что упоминают, говоря о строении земли?",мантию,державу,скипетр,корону
1,Какая из этих троиц в песне представлена как три веселых друга?,Три танкиста,Три товарища,Три толстяка,Три богатыря
2,"Какой батальон фигурирует в песне ""Нам нужна одна победа"" из фильма ""Белорусский вокзал""?",Десятый,Девятый,Саперный,Пехотный
3,В каком городе края Шида-Картли родился Сталин?,Гори,Хашури,Карели,Сурами
4,К какой сфере относится термин «клада»?,Систематика животных,Океанология,Банковская статистика,Бумажная архитектура
5,Что такое форзиция?,Род кустарников,Крепостное укрепление,Тип перспективы в живописи,Вид моллюсков
6,Президент и премьер-министр какой нейтральной страны лично выразили соболезнование послу Германии по поводу смерти Гитлера?,Ирландия,ЮАР,Швейцария,Аргентина
7,"Как на бирже называют трейдеров, которые совершают большое количество сделок за одну торговую сессию, пытаясь заработать на небольших колебаниях курса?",Зайцы,Волки,Лемминги,Свиньи
8,"Как называется опера британского композитора Найджела Осборна, написанная по мотивам двух произведений Бориса Пастернака?",«Электрификация Советского Союза»,«Советское — значит отличное»,«Великая пятилетка»,«Пролетарская действительность»
9,"Что такое ""Белая лошадь из Уффингтона"" с точки зрения археолога?",Геоглиф,Мегалит,Комплекс,Ангоб
