,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Кто из этих сказочных персонажей подарил своему другу телефон, сделанный из цельного куска чёрного мрамора?",Старик Хоттабыч,Хозяйка Медной горы,Великий Гудвин,Мороз Иванович
1,Что регулируют у автомобиля при прохождении технического обслуживания?,сход-развал,сброс-разброс,слив-отход,съезд-разгон
2,Сколько камер имеет сердце млекопитающих?,Четыре,Три,Одну,Две
3,Кто первым вышел в открытый космос?,Леонов,Феоктистов,Титов,Николаев
4,Кто из неуловимых мстителей выкрал стратегическую карту из кабинета полковника Кудасова?,Валерка,Яшка,Данька,Ксанка
5,Какой орден в России был учрежден первым?,Святого апостола Андрея Первозванного,Святого Александра Невского,Святого Георгия,Святого Николая Чудотворца
6,"Что исчезло с картины Шишкина «Утро в сосновом лесу», когда ее доставили в галерею?",подпись Констатина Савицкого,слой копоти,фигура пятого медведя,цена картины
7,К какому типу животных относятся морские лилии?,Иглокожие,Гребневики,Губки,Стрекающие
8,Какая из этих звезд земного небосвода ярче?,Спика,Денеб,Регул,Кастор
9,Кто из этих ученых первым получил титул за научные заслуги?,Сэр Исаак Ньютон,"Уильям Томсон, лорд Кельвин","Фрэнсис Бэкон, виконт Сент-Албан",Генри Кавендиш
