,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Какой частью речи являются слова «the», «an» и «a» в английском языке?",Артикли,Предлоги,Союзы,Антецеденты
1,Какой цвет проблесковых маячков не используется на транспортных средствах?,Зелёный,Синий,Красный,Жёлтый
2,Какой марки летающий автомобиль у Дмитрия Майкова — героя новогоднего боевика «Чёрная молния»?,«Волга»,«Москвич»,«Жигули»,«Победа»
3,"Как называется синтаксическая единица, выражающая законченную мысль?",Предложение,Цитата,Заключение,Обращение
4,"Как называется химическая связь между атомами, образующаяся между типичными металлами и неметаллами?",Ионная,Водородная,Ковалентная неполярная,Ковалентная полярная
5,Чему посвятил свое стихотворение Роберт Бернс?,Зубной боли,Лихорадке,Холере,Чуме
6,По территории какой страны не протекает Западный Буг?,России,Белоруссии,Польши,Украины
7,"За что суд вынес смертный приговор главному герою в романе Владимира Набокова ""Приглашение на казнь""?","""Гносеологическая гнусность""","""Метафизическая мерзость""","""Трансцендентный терроризм""","""Имманентный идиотизм"""
8,Какой день объявлен Международным днём памятников и исторических мест?,18 апреля,23 августа,31 мая,25 марта
9,"Какой писатель эпохи Мэйдзи, пропагандировавший европейские идеи, изображен на японской иене номиналом в 10000?",Фукудзава,Нансуи,Тэцудзиро,Бакин
