,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Что воспел Олег Газманов в одной из своих песен?,Свежий ветер,Свежие новости,Свежее дыxание,Свежее пиво
1,Как иногда уничижительно называют эпоху правления императриц в истории России?,Бабье царство,Бабье княжество,Бабье управство,Бабье раздолье
2,Болезнью чего является рахит?,Костей,Сердца,Желудка,Печени
3,К какому надцарству относятся бактерии?,Прокариоты,Послекариоты,Эукариоты,Аукариоты
4,Как иначе называлась вымершая птица додо?,Дронт,Эпиорнис,Фороракос,Чёрный эму
5,"Кто автор великолепного изречения: «Мы любим людей за то добро, которое им делаем и ненавидим за то зло, которое им причиняем»?",Л. Толстой,Ф. Достоевский,А. Пушкин,Н. Гоголь
6,Какой русский фабрикант открыл первую мастерскую по производству леденцовой карамели?,Ландрин,Абрикосов,Ленов,Крахмальников
7,"Писатель Джон Туллиус как-то заметил, что лишь 9 человек из 10 говорят, что любят шоколад. А что, согласно его афоризму, делает 10-й человек?",Всегда врёт,Его боготворит,Его изготавливает,Молча его ест
8,"Как астрономы называют область вокруг звезды, пригодную для жизни?",Зона Златовласки,Сфера Алисы,Обитель Евы,Пространство Галадриэль
9,Как звали старшую из великих княжон - дочерей Николая II?,Ольга,Мария,Анастасия,Татьяна
