,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Как звали управителя графинь Вишен в сказке о Чиполлино?,синьор Помидор,сэнсэй Сельдерей,пан Баклажан,дон Патиссон
1,Какое направление в искусстве получило свое название от картины Клода Моне?,Импрессионизм,Абстракционизм,Авангардизм,Академизм
2,Что лечит врач-пульмонолог?,лёгкие,почки,печень,сердце
3,"Сколько матчей должен сыграть спортивный клуб начиная с 1/32 финала, чтобы победить в розыгрыше Кубка России по футболу?",6,8,11,5
4,"Какой цветок упоминается в песне В. Высоцкого «Мерцал закат, как блеск клинка...»?",Эдельвейс,Пион,Гвоздика,Магнолия
5,Какой из перечисленных подотрядов динозавров относится к хищным?,Тероподы,Цераподы,Тиреофоры,Завроподоморфы
6,Из какого алфавита Кирилл и Мефодий взяли в русскую азбуку буквы «ц» и «ш»?,Иврит,Арабский,Греческий,Санскрит
7,К какой группе относится минерал меланит?,Гранаты,Амфиболы,Плагиоклазы,Цеолиты
8,"Какую роль сыграл Владимир Высоцкий в спектакле ""Десять дней, которые потрясли мир""?",Александр Керенский,Вудро Вильсон,Лев Троцкий,Джон Рид
9,"Какие элементарные частицы, согласно ""стандартной модели"", отвечают за  сильное взаимодействие?",Глюоны,Лептоны,Кварки,Фотоны
