,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Что используют на подводной лодке для скрытого наблюдения?,Перископ,Гороскоп,Телескоп,Фильмоскоп
1,В чём была сила ветхозаветного героя Самсона?,В волосах,В руках,В ногах,Во взгляде
2,Сколько молочных зубов у человека?,20,24,32,28
3,Сколько отверстий в шаре для боулинга?,3,2,4,5
4,Как называется изменение с течением времени деформации твёрдого тела под воздействием постоянной нагрузки?,ползучесть,ударная вязкость,хрупкость,жаропрочность
5,Кто из знаменитых теннисистов соединили себя узами брака?,Граф и Агасси,Уильямс и Сампрас,Хингис и Лендл,Шарапова и Джокович
6,Какая команда НХЛ с 2010 по 2015 завоевала три Кубка Стэнли?,«Чикаго Блэкхокс»,«Лос-Анджелес Кингз»,«Детройт Ред Уингз»,«Питтсбург Пингвинз»
7,В каком городе обосновалось коллаборационистское правительство Петена в период оккупации Франции немецкими войсками?,Виши,Бурж,Реймс,Шартр
8,Чем не является африканский город Блумфонтейн?,Вторым по грузообороту портом ЮАР,Судебной столицей ЮАР,Родиной Дж. Р. Р. Толкина,Местом основания Африканского национального конгресса
9,Как называется высочайшая точка США к востоку от Миссисипи?,Митчелл,Стоун-Маунтин,Адамс,Вашингтон
