,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какие сосуды часто упоминаются на уроках физики?,сообщающиеся,обобществляющие,обобщающие,общающиеся
1,"Произведение с каким названием есть и у М. Горького, и у Л. Толстого?",«Детство»,«Отрочество»,«Молодость»,«Юность»
2,Цветы какого из этих растений не голубого цвета?,Лютик,Колокольчик,Незабудка,Василек
3,У какой породы кошек отсутствует боязнь воды?,Турецкий ван,Рэгдолл,Скотиш-фолд,Египетский мау
4,"Отличительной чертой какой породы кошек являются вошедшие в легенду ""Сапфировые глаза""?",Сиамская,Абиссинская,Ангорская,Персидская
5,"Как звали предводителя галлов, воевавшего против Юлия Цезаря?",Верценгеториг,Аларих,Бренн,Преторикс
6,"Назовите произведение Н. В. Гоголя, где есть такие слова: ""Чуден Днепр при тихой погоде"".",Страшная месть,Сорочинская ярмарка,Тарас Бульба,Майская ночь
7,Какой цвет (тинктура) обозначается в геральдике клетчатым орнаментом (шраффировкой)?,Чернь,Лазурь,Зелень,Пурпур
8,Какой станции нет в Нижегородском метрополитене?,«Кремлёвская»,«Чкаловская»,«Ленинская»,«Автозаводская»
9,"Для запоминания чего в французском языке используется правило, начинающееся словами: «Laissant son kimono bleu á trois gamins...»?",Порядка смены руководителей СССР и России,Рецепта соуса бешамель,Планет Солнечной системы,Месяцев республиканского календаря
