,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Как звали братьев Стругацких?,Аркадий и Борис,Пётр и Павел,Гавриил и Михаил,Борис и Глеб
1,"Как называется ""гараж"" для самолетов?",Ангар,Эллинг,Депо,Док
2,Какой из этих ученых изучает пауков?,Арахнолог,Карцинолог,Ихтиолог,Энтомолог
3,Посредством какого образования полые органы брюшной полости крепятся к задней стенке живота?,Брыжейка,Мезодерма,Пейеровы бляшки,Большой сальник
4,"Кто является автором фантастической детективной повести «Отель ""У Погибшего Альпиниста""»?",Братья Стругацкие,А. Азимов,С. Лем,Р. Брэдбери
5,"Какое слово пропущено во фразе М. Горького: «Есть такая степень талантливости, которая делает людей ..., невыносимо, ужасающе талантливыми»?",Идиотами,Супругами,Богами,Подлецами
6,Какая из этих династий правила раньше остальных?,Меровинги,Валуа,Каролинги,Капетинги
7,"Какая федеральная земля считается ""Зеленым сердцем Германии""?",Тюрингия,Саксония,Померания,Гессен
8,Кто был последним англосаксонским королем Англии?,Гарольд II Годвинсон,Эдуард Исповедник,Этельред Неразумный,Эдмунд II Железнобокий
9,"Кто из венецианских дожей ""поспособствовал"" разграблению Константинополя крестоносцами?",Энрико Дандоло,Джованни Дандоло,Пьетро Дзиани,Себастиано Дзиани
