,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Как называется ситуация в борьбе, когда один из противников оказывается на лопатках?",туше,клише,атташе,папье-маше
1,Наименование какой птицы дало прозвище коротким пассажирским и грузо-пассажирским поездам местного значения?,Кукушки,Чайки,Перепёлки,Сапсана
2,Какой из этих ученых изучает пауков?,Арахнолог,Карцинолог,Ихтиолог,Энтомолог
3,"Какую кличку носил герой Миронова из кинофильма ""Бриллиантовая рука""?",Граф,Князь,Купец,Барон
4,Какой белок содержится в молоке?,Казеин,Пепсин,Коллаген,Гемоглобин
5,С какой должности начал свою службу в потешных войсках будущий император Петр I?,Солдат-барабанщик,Солдат-денщик,Солдат-вестовой,Солдат дозора
6,"Что означает слово ""гарем"" в переводе на русский?",запрет,женщины,дом,власть
7,В честь какого китообразного компания Airbus назвала реактивный грузовой самолёт со своеобразной формой корпуса?,Белуха,Нарвал,Горбатый кит,Кашалот
8,В каком городе родился знаменитый аргентинский композитор Астор Пьяццолла?,Мар-дель-Плата,Росарио,Мендоса,Буэнос-Айрес
9,Кто из американских политиков был президентом обоих Континентальных конгрессов и Конгресса Конфедерации?,Джон Хэнкок,Аарон Берр,Томас Миффлин,Томас Маккин
