,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Как называют автомобиль повышенной проходимости?,внедорожник,подорожник,внепутейник,всеколейник
1,"Куда заезжает водитель, паркуя свой автомобиль?",в карман,в рукав,за шиворот,за воротник
2,Как во всём мире называют Вольфганга Амадея Моцарта?,«Солнечный композитор»,«Лунный композитор»,«Звёздный композитор»,«Огненный композитор»
3,Какая из этих планет обладает наименьшей массой?,Меркурий,Марс,Земля,Венера
4,Какой галоген самый тяжелый?,Астат,Бром,Фтор,Хлор
5,В каком месте Москвы первоначально начиналось строительство Храма Христа Спасителя?,Воробьевы горы,Вшивая гора,Поклонная гора,Красная площадь
6,Какое произведение написал композитор Йозеф Гайдн?,"""Менуэт быка""","""Котильон козочки""","""Полонез лошади""","""Вокализ петуха"""
7,Сборная какой из этих стран была бронзовым призером чемпионата мира по футболу?,Австрия,Ирландия,Швейцария,Венгрия
8,Где обитает волнистый попугайчик?,Австралия,Южная Америка,Юго-Восточная Азия,Африка
9,"Кому из перечисленных деятелей искусства не был посвящен сонет из сборника Константина Бальмонта ""Сонеты Солнца, мёда и Луны""?",Жак Этьен Виктор Араго,Эдгар Аллан По,Кристофер Марло,Педро Кальдерон де ла Барка
