,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Какое растение надо изобразить, составляя свою родословную?",Дерево,Куст,Папоротник,Лишайник
1,Кто 14 лет просидел в тюремной камере замка Иф?,Дантес,Пушкин,Лермонтов,Мартынов
2,"Сколько мужиков в поэме Некрасова отправилось выяснять, кому на Руси жить хорошо?",7,6,8,9
3,"Что, согласно рецепту, необходимо положить внутрь котлеты по-киевски?",сливочное масло,куриное сердечко,майонез,сало
4,"Какой богине принадлежала керинейская лань, которую изловил Геракл?",Артемиде,Афродите,Афине,Гере
5,Какой писатель вынужден был отказаться от нобелевской премии?,Пастернак,Шолохов,Солженицын,Бродский
6,Что появилось уже в Cредний палеолит?,захоронения,рыболовный крючок,каменное лезвие,игла с ушком
7,"Чьи пьесы, по заявлению Льва Толстого, были «еще хуже», чем у Шекспира?",Чехова,Лермонтова,Горького,Островского
8,В честь какого представителя швейцарской научной династии названо дифференциальное уравнение?,Якоб Бернулли,Иоганн Бернулли,Николай Бернулли,Даниил Бернулли
9,Какой геологический период является самым длительным в фанерозойском эоне развития Земли?,Мел,Палеоген,Карбон,Девон
