,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Какая часть пассажирского самолёта при взлёте убирается, а при посадке выпускается?",шасси,фюзеляж,киль,крылья
1,Под каким углом пересекаются диагонали ромба?,90 градусов,45 градусов,60 градусов,зависит от ромба
2,Как называется один из видов подъёмных кранов?,козловой,бычий,овечий,свиной
3,Откуда наливают кипяток в поездах дальнего следования?,Из титана,Из свинца,Из цинка,Из полония
4,Кто был тринадцатым российским императором и правил тринадцать лет?,Александр III,Николай I,Николай II,Александр II
5,В каком городе России пока нет метро?,Пермь,Нижний Новгород,Казань,Самара
6,За какую пьесу Сэмюэлю Беккету была присуждена Нобелевская премия?,"""В ожидании Годо""","""Жажда голода""","""Носорог""","""Стулья"""
7,Кто основатель цирковой династии дрессировщиков Запашных?,Михаил Сергеевич,Эдгар Вальтерович ,Лидия Карловна,Вальтер Михайлович
8,Какой османский султан потерпел поражение от Тамерлана?,Баязид I,Селим I,Осман I,Ахмед I
9,В каком немецком городе находится музей Чехова?,Баденвейлер,Фельдберг,Хорбен,Шальштадт
