,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"В какой математической прогрессии возрастает, в основном, сумма выигрыша в программе ""О, счастливчик!""?",Геометрическая,Арифметическая,Тригонометрическая,Интегральная
1,Какой из этих терминов не применяют в футболе?,Буллит,Офсайд,Хет-трик,Аут
2,Какое из этих растений родственник табака?,Картофель,Редис,Лук,Капуста
3,Какие клетки человеческого организма совершенно неспособны делиться?,Нейроны,Гепатоциты,Миоциты,Энтероциты
4,"По мотивам какой пьесы Островского Эльдар Рязанов снял фильм ""Жестокий романс""?","""Бесприданница""","""Лес""","""Бешеные деньги""","""Гроза"""
5,В каком произведении Ф. М. Достоевского нашла своё название украинская рок-группа «Вопли Видоплясова»?,«Село Степанчиково и его обитатели»,«Господин Прохарчин»,«Дядюшкин сон»,«Скверный анекдот»
6,Адвокатской палатой какой страны является Кингс-инн?,Ирландии,Новой Зеландии,Уэльса,Канады
7,До какого чина дослужился Толстый из рассказа А. П. Чехова «Толстый и Тонкий»?,Тайный советник,Статский советник,Коллежский советник,Действительный статский советник
8,К какому таксону относятся бокоплавы?,Ракообразным,Хелицеровым,Многоножкам,Насекомым
9,В какой стране находится самая высокогорная столица в мире?,Боливия,Непал,Лихтенштейн,Бутан
