,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какое прозвище носила героиня Алисы Фрейндлих в фильме «Служебный роман»?,Мымра ,Крыса,Кикимора,Чучундра
1,Какая песня была написана специально к закрытию московской Олимпиады?,"""До свидания, Москва!""","""До свидания, москвичи!""","""До свидания, города и хаты...""","""До свидания, лето!"""
2,Какой воздух легче?,Влажный и теплый,Сухой и холодный,Влажный и холодный,Сухой и теплый
3,Кого в старину на Руси называли вепрем?,Кабана,Филина,Лося,Летучую мышь
4,Кем была Евдокия Лопухина?,Жена Петра I,Внучка Петра I,Дочь Екатерины II,Сестра Екатерины I
5,"Где обитает варварийская обезьяна, единственная дикая обезьяна, живущая в Европе?",Гибралтар,Испания,Португалия,Греция
6,Какой класс звезд является самым долгоживущим во вселенной?,Красные карлики,Красные гиганты,Желтые карлики,Коричневые карлики
7,Куда поместил Зевс похищенную Европу?,Крит,Троя,Олимп,Аид
8,В каком из перечисленных языков только два рода – общий и средний?,В шведском,В норвежском,В украинском,В греческом
9,Наглядным примером какой поверхности могут служить чипсы Pringles?,Гиперболический параболоид,Двуполостный гиперболоид,Однополостный гиперболоид,Эллиптический параболоид
