,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Как химики называют хорошо растворимые в воде основания?,щёлочи,кислоты,соли,спирты
1,"Как называется универсальный спортивный зал, построенный специально к московской Олимпиаде?",«Дружба»,«Вера»,«Надежда»,«Любовь»
2,Сколько шагов в минуту предполагает обычный строевой шаг военнослужащих Российской армии?,110-120,50-60,70-80,90-100
3,Какой из этих литературных героев был посвящён в рыцари хозяином трактира?,Дон Кихот,Айвенго,Тристан,Ланселот
4,В каком архитектурном стиле возведён Казанский собор Санкт-Петербурга?,классицизм,барокко,романский,рококо
5,На каких самолетах совершали ночные бомбардировки фашистов знаменитые женские авиаполки?,У-2,Пе-2,Ил-4,Ту-2
6,В каком фильме по повести Бориса Васильева можно услышать есенинское стихотворение про того самого добермана Джима того самого Качалова?,«Завтра была война»,«А зори здесь тихие»,«Я — русский солдат»,«Не стреляйте в белых лебедей»
7,Какая страна первой одержала победу в Кубке Дэвиса?,США,Великобритания,Франция,Австралия
8,"Какой сонет Шекспира заканчивается словами: ""Над смертью властвуй в жизни быстротечной, и смерть умрет, а ты пребудешь вечно""?",№ 146,№ 64,№ 112,№ 28
9,"Как в государственном праве называется официальное провозглашение (обнародование) закона, принятого парламентом?",Промульгация,Пролиферация,Пролексизация,Пролификация
