,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,На каком материке обитает животное - символ нашей викторины?,Евразия,Африка,Австралия,Южная Америка
1,В какой эндокринной железе синтезируется инсулин?,Поджелудочная железа,Яичко,Щитовидная железа,Гипофиз
2,"Кто такой Хэм, первым отправившийся в космос на американской ракете в 1961 году?",шимпанзе,гусь,мышонок,доберман-пинчер
3,На основе какого напитка готовится коктейль «Маргарита»?,текила,ром,водка,коньяк
4,Как звучит название города Вавилон в переводе с аккадского?,"""Врата Бога""","""Солнечный город""","""Столица""","""Глаз вечности"""
5,Какой из этих городов является административным центром автономного сообщества Испании Астурии?,Овьедо,Лангрео,Хихон,Орьенте
6,На сколько эонов подразделяется геологическая история Земли?,4,10,8,6
7,"К какому типу оружия, по характеру наносимых повреждений, относится кончар?",Колющее,Колюще-рубящее,Рубящее,Ударно-раздробляющее
8,"В конце какого геологического периода Земли произошел катаклизм, в результате которого вымерло около 95% всех живых существ?",Пермский,Силурийский,Каменноугольный,Меловой
9,Национальным головным убором какой страны является панама?,Эквадор,Испания,Мексика,Панама
