,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какой шотландский король стал героем трагедии Шекспира?,Макбет,Александр III,Кеннет МакАльпин,Яков I
1,Как назывался один из типов древнеримских гладиаторов?,Провокатор,Аниматор,Терминатор,Модератор
2,"Что в переводе с латинского означает выражение ""Dura lex, sed lex""?","Суров закон, но это закон","Обучая, мы учимся",Пусть будет выслушана и другая сторона,Против факта нет доказательства
3,При каком счете (по геймам) в большом теннисе разыгрывается тай-брейк?,6: 6,5: 5,10: 10,7: 7
4,Как называются греческие предпраздничные песни?,Каланды,Дойны,Кифарины,Эпиталамы
5,С какой космической скоростью можно оторваться от притяжения Земли и летать по всей Солнечной системе? ,Со второй,С четвёртой,С первой,С третьей
6,"Какой поэт прозорливо заметил «Нам не дано предугадать, как слово наше отзовётся...»?",Ф. Тютчев,А. Фет,Е. Баратынский,А. Пушкин
7,"Назовите художника - автора аппетитной картины ""Шоколадница""",Ж. Э. Лиотар,А. Ватто,Ж. Л. Давид,Н. Пуссен
8,"О ком написал Генри Брэкенридж: «Этот зверь — царь в стране, где он обитает. Не менее ужасен и свиреп, чем африканский лев или бенгальский тигр. Он — враг человека, буквально жаждет его крови»?",Медведь гризли,Ягуар,Африканский слон,Акула-молот
9,Какая династия правила в Швеции с 1751 по 1818 год?,Гольштейн-Готторпы,Пфальц-Цвейбрюкены,Бернадоты,Ваза
