,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Как называется транспортная часть космического аппарата, доставляющего его на орбиту?",Ракета-носитель,Ракета-носильщик,Ракета-несун,Ракета-носчик
1,Что из них не птица?,Ная,Щур,Эму,Юла
2,Разновидностью какого овоща является турнепс?,Репа,Редька,Тыква,Редиска
3,Кто впервые предложил термин «физика»?,Аристотель,Декарт,Фалес,Гомер
4,"В каком веке изобрели каблук ""шпилька""?",XX,XVII,XII,V
5,С какого года фигурное катание неизменно входит в программу зимних Олимпийских игр?,1924 ,1920,1928,1932
6,Кто изобрел надувные шины?,Данлоп,Даймлер,Мишлен,Пирелли
7,Как в древности на Руси назывался месяц май?,Травень,Грудень,Червень,Цветень
8,Какой чай родом из провинции Чжецзян?,Колодец дракона,Зелёный бамбук,Серебряные иглы,Ворсистые концы
9,Какая из этих ягод не относится к роду Вакциниум семейства Вересковые?,морошка,брусника,голубика обыкновенная,клюква крупноплодная
