,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Какой актер сыграл персонажа, которому принадлежит фраза: ""I`ll be back...""?",Арнольд Шварценеггер,Марлон Брандо,Вуди Аллен,Сильвестр Сталлоне
1,"Название столицы какой из стран является анаграммой слова, которым обозначается одиночное исполнение музыкального произведения?",Норвегия,Исландия,Дания,Швеция
2,На каком острове Поль Гоген провел не один год своей жизни?,Таити,Фиджи,Крит,Гавайи
3,Где в России находятся самые известные месторождения малахита?,Урал,Камчатка,Карелия,Якутия
4,Название которого кустарника в переводе означает «морская роса»?,Розмарин,Каллистемон,Багульник,Вереск
5,В каком году были введены погоны в советской армии?,1943,1941,1935,1917
6,"Завершите цитату из поэмы ""Двенадцать"" А. Блока: ""Раскраснелася лицом. Зубки блещут жемчугом.//Ах ты, Катька моя Катька, …""",Толстоморденькая,Толстомясенькая,Прехорошенькая,Ненаглядненькая
7,Сколько футов в одном русском аршине?,2.333,3.222,22,33
8,"Какой драматург написал: ""Кольцо на пальце знаменует брак, И из колец выковывают цепи""?",Ф. Шиллер,В. Шекспир,Г. Гейне,И. Гёте
9,"Кого сыграл Ринго Старр в фильме Гарри Харриса ""Алиса в стране чудес""?",Черепаху Квази,Чеширского кота,Белого кролика,Птицу Додо
