,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какого моря нет на карте мира?,Синего,Жёлтого,Чёрного,Белого
1,Божеством какого пантеона был Осирис?,Египетского,Ассирийского,Иудейского,Шумерского
2,Кто из советских космонавтов полетел в космос сразу после Юрия Гагарина?,Герман Титов,Андриян Николаев,Владимир Джанибеков,Валентина Терешкова
3,"Высоцкий в «Песенке о переселении душ» предупредил: если в этой жизни ты был «туп, как дерево», то родишься… Чем же?",баобабом,осиной,дубом,пробковым деревом
4,Какую монету клали в рот умершему в древней Греции для платы Харону?,Обол,Лепта,Драхма,Талант
5,Какое из этих фантастических произведений не принадлежит перу Р. Брэдбери?,«Контракт»,«Вельд»,«Лед и пламя»,«Калейдоскоп»
6,Какой медицинский инструмент родился благодаря нотной тетради?,стетоскоп,бормашина,дефибриллятор,шприц
7,Кто из этих гонщиков является пятикратным чемпионом мира в Формуле-1?,Хуан Мануэль Фанхио,Айртон Сенна,Ален Прост,Мика Хаккинен
8,Какой из этих знаменитых музеев наиболее посещаемый?,Метрополитен-музей,Британский музей,Музеи Ватикана,Музей императорского дворца
9,Какой из этих минералов обладает большей твердостью?,Шпинель,Турмалин,Доломит,Рутил
