,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Кого хотел Валико в фильме ""Мимино""?",Ларису Ивановну,Веронику Маврикиевну,Катерину Матвеевну,Шахерезаду Степановну
1,Кем был признан Суворов?,Генералиссимусом,Предводителем,Солдатом,Фельдмаршалом
2,Как называли одно из спортивных сооружений пекинской Олимпиады?,«Водный куб»,«Воздушный конус»,«Песчаный шар»,«Каменная пирамида»
3,В какой области находился затопленный город Молога?,В Ярославской ,В Иркутской,В Московской,В Рязанской 
4,Кто стал победителем автогонок Формула - 1 в 2000 году?,Михаэль Шумахер,Джексон Баттон,Мика Хаккинен,Жак Вильнев
5,"Каким было прозвище правителя Руси Ивана, воздвигнувшего Успенский и Благовещенский соборы, Грановитую палату и несколько башен Московского Кремля?",Великий,Грозный,Святой,Светлый
6,"Как Христофор Колумб назвал первую землю, открытую им в Новом свете?",Сан-Сальвадор,Сан-Диего,Санта Терра,Санта Лорка
7,К какому семейству относится бабочка крапивница?,Нимфалиды,Белянки,Парусники,Голубянки
8,"Какой писатель является автором фантастической повести ""Обмен разумов""?",Р. Шекли,А. Азимов,Р. Бредбери,К. Саймак
9,Как называется помесь зайца-беляка с русаком?,Тумак,Светляк,Бурак,Темняк
