,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Чего не найти в легковом автомобиле?,Стен,Крыши,Порогов,Окон
1,Что в советские времена находилось на месте Храма Христа Спасителя?,Бассейн,Стадион,Кинотеатр,Музей
2,В какой из этих стран формально нет Конституции?,Великобритания,Франция,США,Россия
3,Кому Пушкин посвятил стихотворение «Мадонна»?,Невесте,Матери,Няне,Сестре
4,"Какое представление смотрел Червяков в бинокль, перед тем как чихнуть на лысину статского генерала Бризжалова («Смерть чиновника»)?",«Корневильские колокола»,«Проданная невеста»,«Травиата»,«Вольный стрелок»
5,Какая война разгорелась между домами Йорк и Ланкастер?,Двух Роз,Столетняя,Английская,Великая
6,"Кто такие ""хамовники"", давшие название одному из районов Москвы?",Ткачи,Монахи,Грубые люди,Торговцы хамсой
7,"Как называется венгерская ""копейка""?",Филлер,Пара,Эре,Баня
8,Какой день народного календаря отмечается 29 августа?,Третий Спас,Щедрый вечер,Корочун,Таусень
9,Какой из перечисленных персонажей комиксов родился не в Нью-Йорке?,Доктор Стрэндж,Железный человек,Капитан Америка,Человек-паук
