,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какое слово общее в названии некоторых частей речи?,имя,фамилия,псевдоним,отчество
1,У подножия какой горы расположена столица Болгарии София?,Витош,Мауна-Кеа,Олимп,Белуха
2,Чему равна сумма всех чисел на стандартном циферблате?,78,76,82,80
3,В каком районе Варшавы раскинулся парк Скарышевского?,Прага,Лондон,Париж,Москва
4,"Что в романе Джона Уиндема «День триффидов» стало причиной того, что большая часть человечества ослепла?",Метеоритный дождь,Атака инопланетян,Ядовитые дожди,Вирусная инфекция
5,С какой страной у России самая короткая сухопутная граница?,С КНДР,С Норвегией ,С Литвой,С Польшей
6,На каком пароходе Лев Троцкий покинул Советский Союз?,"""Ильич""","""Бурлак""","""Гоголь""","""Серов"""
7,Какое графство в Англии самое большое?,Северный Йоркшир,Девон,Эссекс,Кент
8,"Кто сыграл мексиканца в «Знаке Зорро», француза в «Трех мушкетерах», англичанина в «Робин Гуде», араба в «Багдадском воре»?",Дуглас Фэрбенкс,Ферри Пизани,Луи Деллюк,Уильям Бреди
9,Кто из баскетболистов Dream Team на Олимпийских играх 1992 года единственный не представлял клуб НБА?,Кристиан Леттнер,Джамал Машберн,Эрик Монтросс,Родни Роджерс
