,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Кто из этих мифических героев стал символом бессмысленной работы?,Сизиф,Эней,Атлас,Тантал
1,В каком месяце в США традиционно начинаются президентские выборы?,Ноябрь,Октябрь,Август,Сентябрь
2,"Какого цвета, кроме белого, может быть мяч для настольного тенниса, согласно международным правилам?",Оранжевый,Красный,Голубой,Фиолетовый
3,При достижении какого возраста гражданин России обязан поменять паспорт?,20 лет,25 лет,30 лет,40 лет
4,В каком фильме не играл Роберт де Ниро?,Титаник,Области тьмы,Таксист,Схватка
5,Полосы флага какого из этих государств имеют иную цветовую гамму чем на флаге России?,Румыния,Сербия,Хорватия,Словения
6,"Как звали женщину, по словам Некрасова, способную на скаку остановить коня и войти в горящую избу?",Дарья,Марья,Арина,Матрена
7,Какого боксерского стиля не существует?,Пойнтер,Спойлер,Аутфайтер,Инфайтер
8,В какое время (по местному времени) стартует гонка Формулы-1 в европейских странах?,14.00,18.00,16.00,15.00
9,Кем приходился Прометей Пандоре?,Деверем,Зятем,Свекром,Свояком
