,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какого цвета ягоды брусники?,Красного,Синего,Чёрного,Зелёного
1,"Кто из героев германской эпической поэмы ""Песнь о Нибелунгах"" стал неуязвимым, искупавшись в крови дракона?",Зигфрид,Хаген,Гернот,Гунтер
2,С семенами какого растения славяне сравнивали веснушки?,Конопли,Ржи,Овса,Чечевицы
3,Какой волшебный предмет Гарри Поттер в первом фильме купил в последнюю очередь?,волшебную палочку,метлу,мантию,котёл
4,В Лондоне к всемирной выставке 1851 года был построен Хрустальный дворец. Из чего были изготовлены парадные двери?,Малахит,Жемчуг,Изумруд,Янтарь
5,"Архиепископ Генуи как-то пошутил: «Хотя Ватикан в принципе не одобряет клонирование людей, он мог бы сделать исключение для...?»",Софи Лорен,Грейс Келли,Авы Гарднер,Джины Лоллобриджиды
6,Сколько раз в истории испанский футбольный клуб Реал Мадрид выигрывал главный европейский турнир - Лигу Чемпионов?,10,14,4,7
7,Фильма с каким названием не существует?,"""2001""","""1984""","""1992""","""2012"""
8,Разновидностью какого минерала является декоративно-поделочный камень авантюрин?,Кварц,Циркон,Берилл,Гранат
9,Какой из этих исторических конфликтов Средних веков произошел раньше остальных?,Лазская война,Ливонский поход на Русь,Столетняя война,Фламандское восстание
