,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Как футбольные болельщики и журналисты называют нелепый гол, пропущенный вратарем?",«бабочка»,«муха»,«стрекоза»,«овод»
1,Ботва какого овоща используется для приготовления ботвиньи?,Свёкла,Картофель,Репа,Морковь
2,Какая марка знаменитых револьверов была разработана в Бельгии?,Наган,Кольт,Пеппербокс,Маузер
3,В каком подмосковном городе находится Государственный дом-музей П. И. Чайковского?,Клин,Коломна,Нарофоминск,Кашира
4,"Как называется одна из частей телесериала ""Следствие ведут знатоки""?","""Подпасок с огурцом""","""Ученик с капустой""","""Подмастерье с помидором""","""Практикант с репкой"""
5,Кто был первым ведущим передачи «Что? Где? Когда?»?,Александр Масляков,Альберт Аксельрод,Владимир Ворошилов,Борис Крюк
6,Что можно поставить в заслугу древнеримскому консулу Марку Клавдию Марцеллу?,Взял Сиракузы,Завоевал Этрурию,Разрушил Карфаген,Победил Ганнибала
7,Какой город до 1948 года носил название Ораниенбаум?,Ломоносов,Североморск,Зеленоградск,Приозерск
8,Кто исполнил арию Дивы Плавалагуны в кинофильме «Пятый элемент»?,Инва Мула,Патриция Чофи,Эдита Груберова,Сара Брайтман
9,Кто является основателем корейской компании Hyundai?,Чон Чжу-ён,Ким Уджун,Ли Бён Чхоль,Ку Инхве
