,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какой континент Земли является самым малонаселенным?,Антарктида,Южная Америка,Евразия,Австралия
1,"Для какой певицы роль в фильме ""Телохранитель"" стала дебютом в кинематографе?",Уитни Xьюстон,Бьорк,Мадонна,Тина Тернер
2,"Со словами какой части речи ""не"" всегда пишется раздельно?",Глаголы,Наречия,Причастия,Прилагательное
3,Сколько звезд на погоне генерала-майора российской армии?,1,4,2,3
4,Какое заболевание в Древнем Риме называли скабиес?,Чесотка,Гастрит,Выпадение волос,Бронхит
5,К какому типу мостов относится Живописный мост в Москве?,Вантовый,Арочный,Горбатый,Лунный
6,"Раковины каких моллюсков использовались народами Азии, Африки и островов Тихого океана в качестве т. н. раковинных денег?",Каури,Жемчужницы,Устрицы,Мидии
7,"Если конь темно-желтый, с черной гривой и хвостом, то какой он масти?",Саврасый,Мухортый,Чагравый,Игреневый
8,Какой лётчик первым в мире выполнил ночной таран самолёта противника?,Евгений Степанов,Виктор Талалихин,Александр Грибовский,Тадао Одо
9,Во время правления какого российского императора Д.И. Менделеев открыл периодический закон?,Александр II,Николай I,Николай II,Александр III
