,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Куда садятся хоккеисты, получившие штраф во время игры?",на скамейку,на диван,на гауптвахту,в лужу
1,Какой танец написал Арам Хачатурян?,С саблями,С пиками,Со шпагами,С кинжалами
2,За какую футбольную команду долгие годы выступал великий вратарь Лев Яшин?,Динамо,ЦСКА,Спартак,Торпедо
3,Кто из чеховских персонажей был «вечным студентом»?,Трофимов,Лопахин,Фирс.,Гаев
4,Архив с каким названием существует в Севилье?,Архив Индий,Архив Европ,Архив Африк,Архив Америк
5,Какая эндокринная железа синтезирует гормон адреналин?,Надпочечники,Гипофиз,Щитовидная железа,Поджелудочная железа
6,Сколько ног было у мифической Сциллы?,12,3,9,6
7,Какое из этих животных не изображено на гербе Соломоновых островов?,Страус,Черепаха,Акула,Крокодил
8,Какой народ начал первым изготавливать монеты круглой формы с двусторонней чеканкой?,Древние греки,Персы,Китайцы,Древние египтяне
9,Какой из этих языков не относится к ирокезской семье?,пауни,чероки,гурон,могавк
