,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какие произведения обычно сочиняет шахматный композитор?,Этюды,Сонаты,Прелюдии,Менуэты
1,Какую фамилию носит герой фильма «Приключения Электроника»?,Сыроежкин ,Мухоморов,Подберёзовиков,Бледнопоганкин
2,Какой материк пересекают все меридианы Земли?,Антарктида,Австралия,Африка,Евразия
3,"Как звали главного героя из мультфильма ""С приветом по планетам""?",Тут-и-Там,Глиделкинс,Сильвия,Злыдень
4,В каком городе происходит действие фильма «Асса»?,Ялта,Сочи,Кисловодск,Алушта
5,"Чьи глаза, по мнению древних греков, мы можем видеть на хвосте павлина?",Аргуса,Зевса,Тифона,Гидры Лернейской
6,"Как на Руси называли мелкие льдинки, плавающие на поверхности воды перед ледоставом?",Сало,Масло,Молоко,Сметана
7,Кто был основателем Ботанического сада МГУ «Аптекарский огород»?,Пётр I,Александр III,Иван IV,Екатерина II
8,Какой из этих рассказов Конан Дойл написал от лица самого Шерлока Холмса?,«Львиная грива»,«Тайна Боскомской долины»,«Приключения клерка»,«Подрядчик из Норвуда»
9,Чье настоящее имя (по одной из версий) Шакирьян Юнусович Мухамедьянов?,Александр Матросов,Рубен Ибаррури,Николай Гастелло,Марат Казей
