,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Кто был режиссером самого знаменитого фильма о «Титанике»?,Джеймс Камерон,Джекки Чан,Альфред Хичкок,Люк Бессон
1,Сколько клеток в шахматном поле?,64,100,81,121
2,Какие фигуры в начале шахматной партии занимают все четыре угла доски?,Ладьи,Кони,Слоны,Пешки
3,Как звали бога солнца в Древнем Египте?,Ра,Ре,Сирис,Ибис
4,Какого полководца поэт Державин сравнил в своём стихотворении с богом воинства?,Багратиона,Барклая-де-Толли,Кутузова,Суворова
5,Какого числа Франция празднует День взятия Бастилии?,14 июля,14 июня,14 августа,14 декабря
6,Какой крымский дворец построен в английском стиле с элементами неомавританского стиля?,Воронцовский,Массандровский,Ливадийский,Юсуповский
7,Какая из этих четырех рек имеет наибольшую площадь бассейна?,Конго,Янцзы,Амур,Обь
8,Настоящее имя автора какого классического японского произведения не известно и заменено именем одной из героинь этого произведения — фрейлины?,«Повесть о Гэндзи»,«Повесть о старике Такэтори»,«Прекрасная Отикубо»,«Записки у изголовья»
9,Какой турнир является старейшим в мире международным соревнованием во всех видах спорта?,Кубок Америки (парусный спорт),Кубок Девиса (теннис),Кубок Англии (футбол),Кубок шести наций (регби)
