,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Как звали братьев, которых, согласно легенде, вскормила волчица?",Ромул и Рем,Бонни и Клайд,Гог и Магог,Чук и Гек
1,"Как называется разновидность баскетбола, которая в 2017 году была включена в программу Олимпийских игр?",Стритбол,Максибаскетбол,Сквербол,Мини-баскетбол
2,"Какой автомобиль компании Toyota является ""тёзкой"" знаменитого музея?",Toyota Land Cruiser Prado,Toyota Corolla,Toyota Camry,Toyota Avensis
3,Что можно было увидеть в петлицах офицеров Красной армии?,кубики,цилиндрики,шарики,пирамидки
4,"Кто написал роман-сагу ""Будденброки""?",Томас Манн,Кнут Гамсун,Герман Гессе,Джон Голсуорси
5,В какой стране в 1891 году был впервые проведён чемпионат Европы по фигурному катанию среди мужчин?,В Германии,В Австрии,В Швейцарии,В России
6,"Как заканчивается японская пословица «Любая женщина кажется красивой издалека, в темноте и под...»?",Зонтиком,Луной,Одеялом,Сакурой
7,"Прокат какой из этих кинокомедий в Швеции сопровождался слоганом: ""Фильм настолько смешной, что в Норвегии его запретили""?","""Житие Брайана по Монти Пайтону"" (реж. Т. Джонс)","""Знакомство с Факерами 2"" (реж. П. Вайц)","""Тупой и ещё тупее"" (реж. П. Фаррелли, Б. Фаррелли)","""Деликатесы"" (реж. Ж. -П. Жёне, М. Каро)"
8,"Какой актёр, снимавшийся в фильме ""Офицеры"", участвовал в боях за освобождение Вены, Будапешта и Бухареста?",Г. Юматов,В. Пушкарёв,В. Дружников,Е. Весник
9,Какое произведение Харуки Мураками написал в 1985 году по мотивам своей повести «Город с призрачной стеной»?,«Страна чудес без тормозов и Конец Света»,«Рождество овцы»,"«К югу от границы, на запад от солнца»",«Норвежский лес»
