,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Кто губил древних мореплавателей, сумевших спастись от чудовища Сциллы?",Харибда,Харон,Ехидна,Химера
1,Как называется известная картина П. А. Федотова?,«Сватовство майора»,«Женитьба капитана»,«Развод генерала»,«Обручение полковника»
2,"Каким учреждением числился подпольный ""веселый дом"" в ""Зойкиной квартире"" Булгакова?",Ателье,Аптека,Кафе,Прачечная
3,На какой станции метро происходит финальная сцена фильма «Я шагаю по Москве»?,«Университет»,«Парк Культуры»,«Сокольники»,«Измайловская»
4,"Кто является автором фантастического романа ""Машина времени""?",Герберт Уэллс,Рей Брэдбери,Кир Булычёв,Александр Беляев
5,Название какой страны переводится с арабского как «острова»?,Алжир,Сирия,Тунис,Ливия
6,Какой цвет Элизабет Арден выбрала для входной двери в свой фирменный салон?,Красный,Серый,Голубой,Зелёный
7,"Кто командовал частями белой армии, в бою с которыми погиб Чапаев?",Колчак,Деникин,Юденич,Врангель
8,"Какой поэт написал о каскадёрах: «И снова я лезу куда-то по чёртовой стенке, А хилый герой репетирует сцену в постельке»?",Роберт Рождественский,Илья Резник,Андрей Вознесенский,Леонид Дербенёв
9,Какой из этих видов астр получил наибольшее распространение в России?,Астра китайская,Астра альпийская,Астра новобельгийская,Астра итальянская
