,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Сколько очков - это ""очко"" при игре в очко?",21,19,22,20
1,Какую команду тренирует Олег Романцев?,Футбольную,Знатоков,Хоккейную,Баскетбольную
2,Кто автор скульптуры «Рабочий и колхозница»?,Мухина,Андреев,Церетели,Кибальчич
3,В каком году была запущена первая очередь петербургского метрополитена?,1955,1966,1988,1977
4,После Олимпиады 1952 года Всеволод Бобров ушёл из футбола. Куда?,В хоккей,В фигурное катание,На тренерскую работу,В теннис
5,Кому принадлежит высказывание «Я — поэт. Этим и интересен»?,Владимиру Маяковскому,Игорю Северянину,Велимиру Хлебникову,Константину Бальмонту
6,"Какой советский футболист получил ""Золотой мяч"" в 1986 году?",И. Беланов,О. Протасов,О. Блохин,Ю. Газзаев
7,Какие вещества в процентном соотношении преобладают в плазме крови?,Белки,Соли,Липиды,Углеводы
8,Какой из этих народов не входит в единую для трех остальных языковую общность?,Уйгуры,Венгры,Мордва,Ханты
9,На каком острове находился древнегреческий город Эретрия?,Эвбея,Китира,Ираклия,Наксос
